J022751.44+003005.5 182.35 4.42 10.03 2.41 0.49 0.10 11.37 3.06 0.93  9.88 0.25 251.06  2.78
J022820.86+004114.0 183.32 4.42  4.67 0.43 0.48 0.03  5.19 0.52 0.94  4.47 0.11 220.11  3.84
J023610.91-005833.8 220.05 4.44  8.70 1.54 0.57 0.06 11.52 2.17 0.94  5.92 0.12 252.67  6.44
J211450.23-072743.3 127.16 4.38  4.93 0.51 0.61 0.02  7.05 0.74 0.91  5.77 0.21 217.62  4.93
J211439.91-075806.9 126.59 4.38  1.51 0.23 0.39 0.05  1.39 0.23 1.00  3.78 0.13 110.82  3.81
J211522.10-074605.0 124.79 4.38  0.41 0.04 0.42 0.04  0.41 0.04 1.00  1.22 0.04  55.98  4.81
J001708.77-005728.9  84.81 4.35  0.81 0.10 0.48 0.03  0.90 0.12 1.00  3.14 0.16 133.23  5.56
J024850.79-004602.6  95.50 4.35  5.66 0.96 0.63 0.05  8.38 1.47 0.92  4.21 0.19 200.45  3.09
J024728.01+003906.9 199.09 4.43  4.97 0.66 0.65 0.01  7.77 1.03 0.92  3.35 0.08 204.99  3.95
J213703.87-073518.0 131.33 4.38  1.32 0.15 0.47 0.03  1.44 0.18 0.96  2.24 0.08 135.39  3.62
J215421.67-075605.7 123.02 4.37  0.92 0.12 0.47 0.04  0.98 0.14 0.98  1.42 0.05 129.82  2.66
J112346.06-010559.4  75.88 4.34  7.43 1.06 0.51 0.03  8.74 1.27 0.97  4.38 0.25 264.51  4.13
J120155.64-010409.3  86.25 4.35  2.74 0.62 0.69 0.06  4.60 1.06 0.97  3.54 0.18 185.80  3.83
J124752.98-011109.0  99.32 4.36  1.52 0.35 0.49 0.07  1.72 0.43 0.93  4.97 0.22 141.43  1.93
J232021.17-001819.2 113.54 4.37  0.44 0.05 0.36 0.02  0.38 0.04 1.00  3.09 0.12 120.31 73.27
J233259.33+004318.8  78.69 4.34  0.26 0.04 0.37 0.05  0.23 0.04 1.00  2.26 0.13  80.12  8.25
J235106.25+010324.0 120.59 4.37  7.95 1.47 0.61 0.05 11.41 2.20 0.97  8.80 0.32 218.10  5.29
J020447.19+005006.3  88.98 4.35  0.31 0.05 0.27 0.06  0.22 0.04 1.00  2.13 0.11  78.20  3.73
J032019.21+003005.4 103.19 4.36  0.19 0.02 0.30 0.03  0.14 0.02 1.00  1.72 0.09  85.25 10.45
J080658.75+463346.8  97.38 4.36  2.33 0.52 0.65 0.06  3.62 0.83 0.96  3.86 0.17 165.67  3.43
J082956.27+515824.1  77.15 4.34  0.40 0.06 0.26 0.04  0.28 0.05 1.00  3.23 0.18  83.72  3.39
J033329.46-073308.4  76.72 4.34  0.40 0.06 0.35 0.03  0.34 0.06 1.00  2.19 0.12  97.42  3.83
J085705.72+514850.7  76.09 4.34  0.35 0.06 0.30 0.04  0.27 0.05 0.92  5.08 0.32 107.86  4.80
J211816.06-073507.8 128.66 4.38  7.25 1.20 0.69 0.05 12.05 2.07 0.90  5.00 0.17 228.53  5.76
J020045.13-101451.3  81.75 4.34  0.18 0.02 0.37 0.02  0.16 0.02 1.00  2.40 0.13  77.24  8.71
J082949.87+484647.9 105.70 4.36  3.39 0.71 0.57 0.07  4.53 1.00 1.00  4.08 0.17 141.97  2.14
J084408.09+504422.9  76.21 4.34  0.69 0.10 0.51 0.03  0.80 0.12 0.99  2.66 0.15  97.89  5.30
J125715.15-003927.5  98.28 4.36  1.13 0.17 0.56 0.06  1.48 0.25 0.95  1.60 0.07 138.34  3.25
J135433.67-004635.0 114.58 4.37  1.45 0.19 0.62 0.01  2.11 0.27 0.95  2.12 0.08 153.15  3.85
J133839.73+003245.0  97.29 4.36  0.30 0.04 0.35 0.03  0.26 0.03 0.92  4.40 0.21 106.86  3.83
J150546.86-004253.6 155.02 4.40  2.88 0.40 0.55 0.02  3.69 0.52 0.99  4.93 0.14 174.65  2.50
J143842.98-000027.9 146.25 4.39  3.49 0.67 0.66 0.04  5.53 1.08 0.98  3.13 0.09 200.67  5.22
J145025.02-011026.5 187.50 4.42  7.23 1.40 0.50 0.08  8.28 1.81 0.96  5.70 0.14 244.95  3.27
J140452.62-003640.5 106.16 4.36  3.40 0.36 0.49 0.02  3.79 0.41 0.96  5.61 0.23 185.34  3.80
J141413.17-005339.8 165.01 4.40  8.11 1.08 0.54 0.06 10.08 1.53 0.91  6.80 0.18 270.77  3.22
J232631.10+005013.5 127.60 4.38  2.13 0.28 0.51 0.03  2.49 0.34 0.95  2.56 0.09 162.55  2.81
J234328.26-000148.6 165.10 4.40  2.62 0.45 0.63 0.05  3.89 0.68 0.95  3.71 0.10 194.10  3.52
J024459.89+010318.5 112.33 4.37  2.62 0.51 0.55 0.05  3.31 0.68 0.99  3.40 0.13 185.06  3.20
J021859.65+001948.0 132.52 4.38  3.04 0.49 0.59 0.04  4.22 0.69 0.98  3.20 0.11 197.01  3.68
J025627.12+005232.6 101.39 4.36  3.37 0.39 0.44 0.05  3.46 0.48 0.99  5.95 0.26 160.82  3.86
J203523.80-061437.9  85.87 4.35  4.32 0.64 0.59 0.04  5.92 0.91 0.97 10.76 0.55 254.62  2.95
J204256.27-065126.1 126.41 4.38  1.04 0.16 0.56 0.05  1.34 0.22 0.95  2.53 0.09 117.70  5.22
J205532.62+000635.6 133.69 4.38  0.74 0.12 0.15 0.07  0.43 0.10 1.00  2.88 0.10  98.59  2.91
J205103.70+000825.5 102.06 4.36  0.62 0.09 0.26 0.04  0.44 0.07 1.00  2.67 0.13 112.83 10.20
J215156.74+121411.3 123.27 4.37  1.02 0.20 0.48 0.05  1.12 0.24 0.94  2.79 0.10 119.70  5.22
J205404.34+004638.6 130.08 4.38  5.65 0.96 0.53 0.06  6.97 1.27 0.98  6.01 0.21 217.05  3.60
J215652.70+121857.5 135.91 4.38  3.84 0.44 0.54 0.04  4.82 0.58 0.92  5.68 0.19 184.02  3.71
J211343.93+003428.7 212.02 4.44 11.12 2.46 0.57 0.06 14.75 3.40 0.97  8.07 0.25 283.32  3.64
J015946.76-001657.7 194.89 4.43  5.45 0.65 0.58 0.04  7.30 0.91 0.95  4.93 0.11 241.10  3.92
J012223.78-005230.7 120.89 4.37 16.10 2.64 0.67 0.06 25.81 4.45 0.90 12.06 0.44 297.68  3.57
J115731.83-011510.5  76.70 4.34  1.47 0.32 0.45 0.07  1.54 0.37 0.98  3.95 0.22 129.62  2.57
J205307.50-002407.0 132.87 4.38  0.82 0.09 0.39 0.03  0.76 0.09 0.97  3.74 0.17 114.02  4.56
J215247.62+122942.8 129.32 4.38  0.88 0.09 0.64 0.02  1.34 0.13 0.93  3.32 0.12 124.53 20.89
J215326.90+002218.0 123.77 4.37  1.05 0.12 0.36 0.04  0.93 0.12 0.99  5.18 0.19 135.87  3.83
J210633.54+104504.1 126.71 4.38  1.21 0.14 0.48 0.03  1.35 0.17 1.00  3.51 0.12 108.10  4.02
J210039.64-001236.6 107.64 4.36  0.66 0.12 0.46 0.06  0.70 0.14 0.99  3.25 0.16 102.23  3.00
J213811.68+121139.1  99.66 4.36  1.47 0.22 0.46 0.05  1.56 0.26 0.91  2.04 0.09  99.20  3.43
J124545.20+535702.0 102.17 4.36  0.36 0.05 0.26 0.07  0.25 0.05 1.00  2.78 0.12  89.83  6.49
J080046.85+353146.0  76.40 4.34  0.26 0.04 0.37 0.02  0.23 0.03 1.00  1.61 0.09  90.90 13.37
J120430.82+022036.1  84.17 4.35  0.26 0.03 0.39 0.02  0.24 0.03 1.00  2.74 0.15  85.49 17.28
J123058.64+513636.2  79.80 4.34  0.38 0.06 0.43 0.04  0.38 0.06 1.00  2.53 0.14  85.65  7.77
